========================================================
BACKTEST — MODO CONSERVADOR
========================================================

Recorte analisado: últimos 300 concursos

Ranking PRINCIPAL (ALVO 14/15):
Prioridade: (qtd_14plus) > score_alvo > 13+ > max > média
score_alvo = 100*(15) + 40*(14) + 10*(13) + 2*(12) + 0*(11)

 jogo  qtd_14plus  prob_14plus  prob_15  score_alvo  score_alvo_por100  score_13plus  media_acertos  max_acertos  min_acertos  11.0  12.0  13.0  14.0  15.0
    3           0          0.0      0.0          22             7.3333             0         9.1167           12            6    28    11     0     0     0
    4           0          0.0      0.0           6             2.0000             0         9.0033           12            6    30     3     0     0     0
    1           0          0.0      0.0           0             0.0000             0         9.0633           11            6    30     0     0     0     0
    5           0          0.0      0.0           0             0.0000             0         8.9533           11            6    26     0     0     0     0
    2           0          0.0      0.0           0             0.0000             0         8.8700           11            6    23     0     0     0     0

Ranking SECUNDÁRIO (por média):

 jogo  qtd_14plus  prob_14plus  prob_15  score_alvo  score_alvo_por100  score_13plus  media_acertos  max_acertos  min_acertos  11.0  12.0  13.0  14.0  15.0
    3           0          0.0      0.0          22             7.3333             0         9.1167           12            6    28    11     0     0     0
    1           0          0.0      0.0           0             0.0000             0         9.0633           11            6    30     0     0     0     0
    4           0          0.0      0.0           6             2.0000             0         9.0033           12            6    30     3     0     0     0
    5           0          0.0      0.0           0             0.0000             0         8.9533           11            6    26     0     0     0     0
    2           0          0.0      0.0           0             0.0000             0         8.8700           11            6    23     0     0     0     0
