========================================================
BACKTEST — MODO AGRESSIVO
========================================================

Recorte analisado: últimos 300 concursos

Ranking PRINCIPAL (ALVO 14/15):
Prioridade: (qtd_14plus) > score_alvo > 13+ > max > média
score_alvo = 100*(15) + 40*(14) + 10*(13) + 2*(12) + 0*(11)

 jogo  qtd_14plus  prob_14plus  prob_15  score_alvo  score_alvo_por100  score_13plus  media_acertos  max_acertos  min_acertos  11.0  12.0  13.0  14.0  15.0
    4           0          0.0      0.0           8             2.6667             0         8.9733           12            5    28     4     0     0     0
    2           0          0.0      0.0           4             1.3333             0         8.9600           12            6    20     2     0     0     0
    1           0          0.0      0.0           0             0.0000             0         9.1400           11            6    36     0     0     0     0
    3           0          0.0      0.0           0             0.0000             0         9.0167           11            6    29     0     0     0     0
    5           0          0.0      0.0           0             0.0000             0         8.9533           11            6    26     0     0     0     0

Ranking SECUNDÁRIO (por média):

 jogo  qtd_14plus  prob_14plus  prob_15  score_alvo  score_alvo_por100  score_13plus  media_acertos  max_acertos  min_acertos  11.0  12.0  13.0  14.0  15.0
    1           0          0.0      0.0           0             0.0000             0         9.1400           11            6    36     0     0     0     0
    3           0          0.0      0.0           0             0.0000             0         9.0167           11            6    29     0     0     0     0
    4           0          0.0      0.0           8             2.6667             0         8.9733           12            5    28     4     0     0     0
    2           0          0.0      0.0           4             1.3333             0         8.9600           12            6    20     2     0     0     0
    5           0          0.0      0.0           0             0.0000             0         8.9533           11            6    26     0     0     0     0
