========================================================
BACKTEST — MODO AGRESSIVO
========================================================

Recorte analisado: últimos 300 concursos

Ranking PRINCIPAL (ALVO 14/15):
Prioridade: (qtd_14plus) > score_alvo > 13+ > max > média
score_alvo = 100*(15) + 40*(14) + 10*(13) + 2*(12) + 0*(11)

 jogo  qtd_14plus  prob_14plus  prob_15  score_alvo  score_alvo_por100  score_13plus  media_acertos  max_acertos  min_acertos  11.0  12.0  13.0  14.0  15.0
    4           0          0.0      0.0          12             4.0000             0         9.0000           12            6    32     6     0     0     0
    2           0          0.0      0.0           4             1.3333             0         8.9667           12            5    24     2     0     0     0
    1           0          0.0      0.0           0             0.0000             0         9.1067           11            6    41     0     0     0     0
    5           0          0.0      0.0           0             0.0000             0         8.9967           11            6    24     0     0     0     0
    3           0          0.0      0.0           0             0.0000             0         8.9500           11            6    36     0     0     0     0

Ranking SECUNDÁRIO (por média):

 jogo  qtd_14plus  prob_14plus  prob_15  score_alvo  score_alvo_por100  score_13plus  media_acertos  max_acertos  min_acertos  11.0  12.0  13.0  14.0  15.0
    1           0          0.0      0.0           0             0.0000             0         9.1067           11            6    41     0     0     0     0
    4           0          0.0      0.0          12             4.0000             0         9.0000           12            6    32     6     0     0     0
    5           0          0.0      0.0           0             0.0000             0         8.9967           11            6    24     0     0     0     0
    2           0          0.0      0.0           4             1.3333             0         8.9667           12            5    24     2     0     0     0
    3           0          0.0      0.0           0             0.0000             0         8.9500           11            6    36     0     0     0     0
